key	precursor	default_projectile	audio_type	use_secondary_ammo_pool
nanu_brt_arrow_horse_anti_large_lightning	false	nanu_brt_arrow_horse_anti_large_lightning	bow	false
nanu_brt_arrow_horse_anti_large_magic	false	nanu_brt_arrow_horse_anti_large_magic	bow	false
nanu_brt_arrow_horse_anti_large_poison	false	nanu_brt_arrow_horse_anti_large_poison	bow	false
nanu_brt_arrow_horse_multi	false	nanu_brt_arrow_horse_multi	bow	false
nanu_brt_arrow_horse_multi_arcane_fire	false	nanu_brt_arrow_horse_multi_arcane_fire	bow	false
nanu_brt_arrow_horse_multi_flaming	false	nanu_brt_arrow_horse_multi_flaming	bow	false
nanu_brt_arrow_horse_multi_frozen	false	nanu_brt_arrow_horse_multi_frozen	bow	false
nanu_brt_arrow_horse_multi_lightning	false	nanu_brt_arrow_horse_multi_lightning	bow	false
nanu_brt_arrow_horse_multi_magic	false	nanu_brt_arrow_horse_multi_magic	bow	false
nanu_brt_arrow_horse_multi_poison	false	nanu_brt_arrow_horse_multi_poison	bow	false
nanu_brt_arrow_horse_seeking	false	nanu_brt_arrow_horse_seeking	bow	false
nanu_brt_arrow_horse_seeking_arcane_fire	false	nanu_brt_arrow_horse_seeking_arcane_fire	bow	false
nanu_brt_arrow_horse_seeking_flaming	false	nanu_brt_arrow_horse_seeking_flaming	bow	false
nanu_brt_arrow_horse_seeking_frozen	false	nanu_brt_arrow_horse_seeking_frozen	bow	false
nanu_brt_arrow_horse_seeking_lightning	false	nanu_brt_arrow_horse_seeking_lightning	bow	false
nanu_brt_arrow_horse_seeking_magic	false	nanu_brt_arrow_horse_seeking_magic	bow	false
nanu_brt_arrow_horse_seeking_poison	false	nanu_brt_arrow_horse_seeking_poison	bow	false
nanu_brt_peasant_bowmen_arrow_arcane_fire	false	nanu_brt_peasant_bowmen_arrow_arcane_fire	bow	false
nanu_brt_peasant_bowmen_arrow_flaming	false	nanu_brt_peasant_bowmen_arrow_flaming	bow	false
nanu_brt_peasant_bowmen_arrow_frozen	false	nanu_brt_peasant_bowmen_arrow_frozen	bow	false
nanu_brt_peasant_bowmen_arrow_lightning	false	nanu_brt_peasant_bowmen_arrow_lightning	bow	false
nanu_brt_peasant_bowmen_arrow_magic	false	nanu_brt_peasant_bowmen_arrow_magic	bow	false
nanu_brt_peasant_bowmen_arrow_poison	false	nanu_brt_peasant_bowmen_arrow_poison	bow	false
nanu_brt_peasant_bowmen_arrow_anti_infantry	false	nanu_brt_peasant_bowmen_arrow_anti_infantry	bow	false
nanu_brt_peasant_bowmen_arrow_anti_infantry_arcane_fire	false	nanu_brt_peasant_bowmen_arrow_anti_infantry_arcane_fire	bow	false
nanu_brt_peasant_bowmen_arrow_anti_infantry_flaming	false	nanu_brt_peasant_bowmen_arrow_anti_infantry_flaming	bow	false
nanu_brt_peasant_bowmen_arrow_anti_infantry_frozen	false	nanu_brt_peasant_bowmen_arrow_anti_infantry_frozen	bow	false
nanu_brt_peasant_bowmen_arrow_anti_infantry_lightning	false	nanu_brt_peasant_bowmen_arrow_anti_infantry_lightning	bow	false
nanu_brt_peasant_bowmen_arrow_anti_infantry_magic	false	nanu_brt_peasant_bowmen_arrow_anti_infantry_magic	bow	false
nanu_brt_peasant_bowmen_arrow_anti_infantry_poison	false	nanu_brt_peasant_bowmen_arrow_anti_infantry_poison	bow	false
nanu_brt_peasant_bowmen_arrow_anti_large	false	nanu_brt_peasant_bowmen_arrow_anti_large	bow	false
nanu_brt_peasant_bowmen_arrow_anti_large_arcane_fire	false	nanu_brt_peasant_bowmen_arrow_anti_large_arcane_fire	bow	false
nanu_brt_peasant_bowmen_arrow_anti_large_flaming	false	nanu_brt_peasant_bowmen_arrow_anti_large_flaming	bow	false
nanu_brt_peasant_bowmen_arrow_anti_large_frozen	false	nanu_brt_peasant_bowmen_arrow_anti_large_frozen	bow	false
nanu_brt_peasant_bowmen_arrow_anti_large_lightning	false	nanu_brt_peasant_bowmen_arrow_anti_large_lightning	bow	false
nanu_brt_peasant_bowmen_arrow_anti_large_magic	false	nanu_brt_peasant_bowmen_arrow_anti_large_magic	bow	false
nanu_brt_peasant_bowmen_arrow_anti_large_poison	false	nanu_brt_peasant_bowmen_arrow_anti_large_poison	bow	false
nanu_brt_peasant_bowmen_arrow_multi	false	nanu_brt_peasant_bowmen_arrow_multi	bow	false
nanu_brt_peasant_bowmen_arrow_multi_arcane_fire	false	nanu_brt_peasant_bowmen_arrow_multi_arcane_fire	bow	false
nanu_brt_peasant_bowmen_arrow_multi_flaming	false	nanu_brt_peasant_bowmen_arrow_multi_flaming	bow	false
nanu_brt_peasant_bowmen_arrow_multi_frozen	false	nanu_brt_peasant_bowmen_arrow_multi_frozen	bow	false
nanu_brt_peasant_bowmen_arrow_multi_lightning	false	nanu_brt_peasant_bowmen_arrow_multi_lightning	bow	false
nanu_brt_peasant_bowmen_arrow_multi_magic	false	nanu_brt_peasant_bowmen_arrow_multi_magic	bow	false
nanu_brt_peasant_bowmen_arrow_multi_poison	false	nanu_brt_peasant_bowmen_arrow_multi_poison	bow	false
nanu_brt_peasant_bowmen_arrow_seeking	false	nanu_brt_peasant_bowmen_arrow_seeking	bow	false
nanu_brt_peasant_bowmen_arrow_seeking_arcane_fire	false	nanu_brt_peasant_bowmen_arrow_seeking_arcane_fire	bow	false
nanu_brt_peasant_bowmen_arrow_seeking_flaming	false	nanu_brt_peasant_bowmen_arrow_seeking_flaming	bow	false
nanu_brt_peasant_bowmen_arrow_seeking_frozen	false	nanu_brt_peasant_bowmen_arrow_seeking_frozen	bow	false
nanu_brt_peasant_bowmen_arrow_seeking_lightning	false	nanu_brt_peasant_bowmen_arrow_seeking_lightning	bow	false
nanu_brt_peasant_bowmen_arrow_seeking_magic	false	nanu_brt_peasant_bowmen_arrow_seeking_magic	bow	false
nanu_brt_peasant_bowmen_arrow_seeking_poison	false	nanu_brt_peasant_bowmen_arrow_seeking_poison	bow	false
