bonus_value_id	effect_key	battle_context_key
missile_damage_ap_mod_mult	nanu_stat_missile_damage_vs_bretonnia	fighting_culture_bretonnia
missile_damage_mod_mult	nanu_stat_missile_damage_vs_bretonnia	fighting_culture_bretonnia
missile_explosion_damage_ap_mod_mult	nanu_stat_missile_damage_vs_bretonnia	fighting_culture_bretonnia
missile_explosion_damage_mod_mult	nanu_stat_missile_damage_vs_bretonnia	fighting_culture_bretonnia
missile_damage_ap_mod_mult	nanu_stat_missile_damage_vs_chaos	fighting_culture_daemons_chaos_norsca_chaos_dwarfs
missile_damage_mod_mult	nanu_stat_missile_damage_vs_chaos	fighting_culture_daemons_chaos_norsca_chaos_dwarfs
missile_explosion_damage_ap_mod_mult	nanu_stat_missile_damage_vs_chaos	fighting_culture_daemons_chaos_norsca_chaos_dwarfs
missile_explosion_damage_mod_mult	nanu_stat_missile_damage_vs_chaos	fighting_culture_daemons_chaos_norsca_chaos_dwarfs
missile_damage_ap_mod_mult	nanu_stat_missile_damage_vs_dark_elves	fighting_culture_darkelf
missile_damage_mod_mult	nanu_stat_missile_damage_vs_dark_elves	fighting_culture_darkelf
missile_explosion_damage_ap_mod_mult	nanu_stat_missile_damage_vs_dark_elves	fighting_culture_darkelf
missile_explosion_damage_mod_mult	nanu_stat_missile_damage_vs_dark_elves	fighting_culture_darkelf
missile_damage_ap_mod_mult	nanu_stat_missile_damage_vs_dwarfs	fighting_culture_ogres
missile_damage_mod_mult	nanu_stat_missile_damage_vs_dwarfs	fighting_culture_ogres
missile_explosion_damage_ap_mod_mult	nanu_stat_missile_damage_vs_dwarfs	fighting_culture_ogres
missile_explosion_damage_mod_mult	nanu_stat_missile_damage_vs_dwarfs	fighting_culture_ogres
missile_damage_ap_mod_mult	nanu_stat_missile_damage_vs_elves	fighting_culture_any_elves
missile_damage_mod_mult	nanu_stat_missile_damage_vs_elves	fighting_culture_any_elves
missile_explosion_damage_ap_mod_mult	nanu_stat_missile_damage_vs_elves	fighting_culture_any_elves
missile_explosion_damage_mod_mult	nanu_stat_missile_damage_vs_elves	fighting_culture_any_elves
missile_damage_ap_mod_mult	nanu_stat_missile_damage_vs_empire	fighting_culture_empire
missile_damage_mod_mult	nanu_stat_missile_damage_vs_empire	fighting_culture_empire
missile_explosion_damage_ap_mod_mult	nanu_stat_missile_damage_vs_empire	fighting_culture_empire
missile_explosion_damage_mod_mult	nanu_stat_missile_damage_vs_empire	fighting_culture_empire
missile_damage_ap_mod_mult	nanu_stat_missile_damage_vs_forces_of_destruction	fighting_culture_forces_of_destruction
missile_damage_mod_mult	nanu_stat_missile_damage_vs_forces_of_destruction	fighting_culture_forces_of_destruction
missile_explosion_damage_ap_mod_mult	nanu_stat_missile_damage_vs_forces_of_destruction	fighting_culture_forces_of_destruction
missile_explosion_damage_mod_mult	nanu_stat_missile_damage_vs_forces_of_destruction	fighting_culture_forces_of_destruction
missile_damage_ap_mod_mult	nanu_stat_missile_damage_vs_forces_of_evil	fighting_culture_forces_of_evil
missile_damage_mod_mult	nanu_stat_missile_damage_vs_forces_of_evil	fighting_culture_forces_of_evil
missile_explosion_damage_ap_mod_mult	nanu_stat_missile_damage_vs_forces_of_evil	fighting_culture_forces_of_evil
missile_explosion_damage_mod_mult	nanu_stat_missile_damage_vs_forces_of_evil	fighting_culture_forces_of_evil
missile_damage_ap_mod_mult	nanu_stat_missile_damage_vs_forces_of_order	fighting_culture_forces_of_order
missile_damage_mod_mult	nanu_stat_missile_damage_vs_forces_of_order	fighting_culture_forces_of_order
missile_explosion_damage_ap_mod_mult	nanu_stat_missile_damage_vs_forces_of_order	fighting_culture_forces_of_order
missile_explosion_damage_mod_mult	nanu_stat_missile_damage_vs_forces_of_order	fighting_culture_forces_of_order
missile_damage_ap_mod_mult	nanu_stat_missile_damage_vs_greenskins	fighting_culture_ogres
missile_damage_mod_mult	nanu_stat_missile_damage_vs_greenskins	fighting_culture_ogres
missile_explosion_damage_ap_mod_mult	nanu_stat_missile_damage_vs_greenskins	fighting_culture_ogres
missile_explosion_damage_mod_mult	nanu_stat_missile_damage_vs_greenskins	fighting_culture_ogres
missile_damage_ap_mod_mult	nanu_stat_missile_damage_vs_greenskins_skaven_ogres	fighting_culture_greenskins_ogres_skaven
missile_damage_mod_mult	nanu_stat_missile_damage_vs_greenskins_skaven_ogres	fighting_culture_greenskins_ogres_skaven
missile_explosion_damage_ap_mod_mult	nanu_stat_missile_damage_vs_greenskins_skaven_ogres	fighting_culture_greenskins_ogres_skaven
missile_explosion_damage_mod_mult	nanu_stat_missile_damage_vs_greenskins_skaven_ogres	fighting_culture_greenskins_ogres_skaven
missile_damage_ap_mod_mult	nanu_stat_missile_damage_vs_high_elves	fighting_culture_highelf
missile_damage_mod_mult	nanu_stat_missile_damage_vs_high_elves	fighting_culture_highelf
missile_explosion_damage_ap_mod_mult	nanu_stat_missile_damage_vs_high_elves	fighting_culture_highelf
missile_explosion_damage_mod_mult	nanu_stat_missile_damage_vs_high_elves	fighting_culture_highelf
missile_damage_ap_mod_mult	nanu_stat_missile_damage_vs_human	fighting_culture_men
missile_damage_mod_mult	nanu_stat_missile_damage_vs_human	fighting_culture_men
missile_explosion_damage_ap_mod_mult	nanu_stat_missile_damage_vs_human	fighting_culture_men
missile_explosion_damage_mod_mult	nanu_stat_missile_damage_vs_human	fighting_culture_men
missile_damage_ap_mod_mult	nanu_stat_missile_damage_vs_khorne	fighting_culture_khorne
missile_damage_mod_mult	nanu_stat_missile_damage_vs_khorne	fighting_culture_khorne
missile_explosion_damage_ap_mod_mult	nanu_stat_missile_damage_vs_khorne	fighting_culture_khorne
missile_explosion_damage_mod_mult	nanu_stat_missile_damage_vs_khorne	fighting_culture_khorne
missile_damage_ap_mod_mult	nanu_stat_missile_damage_vs_kislev	fighting_culture_kislev
missile_damage_mod_mult	nanu_stat_missile_damage_vs_kislev	fighting_culture_kislev
missile_explosion_damage_ap_mod_mult	nanu_stat_missile_damage_vs_kislev	fighting_culture_kislev
missile_explosion_damage_mod_mult	nanu_stat_missile_damage_vs_kislev	fighting_culture_kislev
missile_damage_ap_mod_mult	nanu_stat_missile_damage_vs_lizardmen	fighting_culture_lizardmen
missile_damage_mod_mult	nanu_stat_missile_damage_vs_lizardmen	fighting_culture_lizardmen
missile_explosion_damage_ap_mod_mult	nanu_stat_missile_damage_vs_lizardmen	fighting_culture_lizardmen
missile_explosion_damage_mod_mult	nanu_stat_missile_damage_vs_lizardmen	fighting_culture_lizardmen
missile_damage_ap_mod_mult	nanu_stat_missile_damage_vs_nurgle	fighting_culture_nurgle
missile_damage_mod_mult	nanu_stat_missile_damage_vs_nurgle	fighting_culture_nurgle
missile_explosion_damage_ap_mod_mult	nanu_stat_missile_damage_vs_nurgle	fighting_culture_nurgle
missile_explosion_damage_mod_mult	nanu_stat_missile_damage_vs_nurgle	fighting_culture_nurgle
missile_damage_ap_mod_mult	nanu_stat_missile_damage_vs_ogres	fighting_culture_ogres
missile_damage_mod_mult	nanu_stat_missile_damage_vs_ogres	fighting_culture_ogres
missile_explosion_damage_ap_mod_mult	nanu_stat_missile_damage_vs_ogres	fighting_culture_ogres
missile_explosion_damage_mod_mult	nanu_stat_missile_damage_vs_ogres	fighting_culture_ogres
missile_damage_ap_mod_mult	nanu_stat_missile_damage_vs_skaven	fighting_culture_skaven
missile_damage_mod_mult	nanu_stat_missile_damage_vs_skaven	fighting_culture_skaven
missile_explosion_damage_ap_mod_mult	nanu_stat_missile_damage_vs_skaven	fighting_culture_skaven
missile_explosion_damage_mod_mult	nanu_stat_missile_damage_vs_skaven	fighting_culture_skaven
missile_damage_ap_mod_mult	nanu_stat_missile_damage_vs_slaanesh	fighting_culture_slaanesh
missile_damage_mod_mult	nanu_stat_missile_damage_vs_slaanesh	fighting_culture_slaanesh
missile_explosion_damage_ap_mod_mult	nanu_stat_missile_damage_vs_slaanesh	fighting_culture_slaanesh
missile_explosion_damage_mod_mult	nanu_stat_missile_damage_vs_slaanesh	fighting_culture_slaanesh
missile_damage_ap_mod_mult	nanu_stat_missile_damage_vs_tomb_kings	fighting_culture_tomb_kings
missile_damage_mod_mult	nanu_stat_missile_damage_vs_tomb_kings	fighting_culture_tomb_kings
missile_explosion_damage_ap_mod_mult	nanu_stat_missile_damage_vs_tomb_kings	fighting_culture_tomb_kings
missile_explosion_damage_mod_mult	nanu_stat_missile_damage_vs_tomb_kings	fighting_culture_tomb_kings
missile_damage_ap_mod_mult	nanu_stat_missile_damage_vs_undead	fighting_culture_undead
missile_damage_mod_mult	nanu_stat_missile_damage_vs_undead	fighting_culture_undead
missile_explosion_damage_ap_mod_mult	nanu_stat_missile_damage_vs_undead	fighting_culture_undead
missile_explosion_damage_mod_mult	nanu_stat_missile_damage_vs_undead	fighting_culture_undead
missile_damage_ap_mod_mult	nanu_stat_missile_damage_vs_vampire_counts	fighting_culture_vampire_counts
missile_damage_mod_mult	nanu_stat_missile_damage_vs_vampire_counts	fighting_culture_vampire_counts
missile_explosion_damage_ap_mod_mult	nanu_stat_missile_damage_vs_vampire_counts	fighting_culture_vampire_counts
missile_explosion_damage_mod_mult	nanu_stat_missile_damage_vs_vampire_counts	fighting_culture_vampire_counts
missile_damage_ap_mod_mult	nanu_stat_missile_damage_vs_wood_elves	fighting_culture_wood_elves
missile_damage_mod_mult	nanu_stat_missile_damage_vs_wood_elves	fighting_culture_wood_elves
missile_explosion_damage_ap_mod_mult	nanu_stat_missile_damage_vs_wood_elves	fighting_culture_wood_elves
missile_explosion_damage_mod_mult	nanu_stat_missile_damage_vs_wood_elves	fighting_culture_wood_elves
unit_damage_resistance_missile_mod	nanu_stat_missile_resistance_vs_dwarfs	fighting_culture_dwarfs
unit_damage_resistance_missile_mod	nanu_stat_missile_resistance_vs_high_elves	fighting_culture_highelf
unit_damage_resistance_missile_mod	nanu_stat_missile_resistance_vs_kislev	fighting_culture_kislev
unit_damage_resistance_missile_mod	nanu_stat_missile_resistance_vs_vampire_coast	fighting_culture_vampire_coast
reload_mod	nanu_stat_reload_vs_chaos	fighting_culture_daemons_chaos_norsca_chaos_dwarfs
reload_mod	nanu_stat_reload_vs_khorne	fighting_culture_khorne
reload_mod	nanu_stat_reload_vs_nurgle	fighting_culture_nurgle
reload_mod	nanu_stat_reload_vs_slaanesh	fighting_culture_slaanesh
unit_damage_resistance_all_mod	nanu_stat_ward_save_vs_bretonnia	fighting_culture_bretonnia
unit_damage_resistance_all_mod	nanu_stat_ward_save_vs_force_of_order	fighting_culture_forces_of_order
unit_damage_resistance_all_mod	nanu_stat_ward_save_vs_lizardmen	fighting_culture_lizardmen
unit_damage_resistance_all_mod	nanu_stat_ward_save_vs_nurgle	fighting_culture_nurgle
unit_damage_resistance_all_mod	nanu_stat_ward_save_vs_undead	fighting_culture_undead
unit_damage_resistance_physical_mod	nanu_stat_physical_resistance_climate_frozen	fighting_ground_type_tundra
unit_damage_resistance_physical_mod	nanu_stat_physical_resistance_climate_mountain_hills	fighting_ground_type_mountain_hills
