key	text	tooltip
unit_abilities_tooltip_text_nanu_unit_passive_heroic_charge	With a triumphant roar this unit charges into the fray, inspring all around them.	true
unit_abilities_onscreen_name_nanu_unit_passive_valiant_war_cry	Valiant War Cry	false
unit_abilities_onscreen_name_nanu_unit_passive_violent_war_cry	Violent War Cry	false
unit_abilities_onscreen_name_nanu_unit_passive_vengeful_war_cry	Vengeful War Cry	false
unit_abilities_onscreen_name_nanu_unit_passive_vicious_war_cry	Vicious War Cry	false
unit_abilities_onscreen_name_nanu_unit_passive_aura_of_purity	Aura of Purity	false
unit_abilities_tooltip_text_nanu_unit_passive_aura_of_purity	The magical aura surrounding this unit protects allies from harm.	false
unit_abilities_onscreen_name_nanu_unit_passive_aura_of_blood	Blood Ward Aura	true
unit_abilities_tooltip_text_nanu_unit_passive_aura_of_blood	This unit is shrouded in a protective aura that gets stronger with the spilling of blood.	true
unit_abilities_onscreen_name_nanu_unit_passive_brace	Brace!	false
unit_abilities_onscreen_name_nanu_unit_passive_holy_aura	Holy Aura	false
unit_abilities_onscreen_name_nanu_unit_passive_aura_of_dispelling	Dispelling Aura	false
unit_abilities_onscreen_name_nanu_unit_passive_clairvoyance	Clairvoyance	false
unit_abilities_onscreen_name_nanu_unit_passive_strength_of_the_great_bastion	Strength of the Great Bastion	false
unit_abilities_onscreen_name_nanu_unit_passive_ensorcelled_weapons	Ensorcelled Weapons	false
unit_abilities_onscreen_name_nanu_unit_passive_ensorcelled_weapons_flaming	Ensorcelled Weapons (Flaming)	false
unit_abilities_onscreen_name_nanu_unit_passive_ensorcelled_weapons_entropic	Ensorcelled Weapons (Entropic)	false
unit_abilities_onscreen_name_nanu_unit_passive_ensorcelled_weapons_poison	Ensorcelled Weapons (Poison)	false
unit_abilities_onscreen_name_nanu_unit_passive_ensorcelled_weapons_aoe	Aura of Ensorcelling	false
unit_abilities_onscreen_name_nanu_unit_passive_ensorcelled_weapons_flaming_aoe	Aura of Ensorcelling (Flaming)	false
unit_abilities_onscreen_name_nanu_unit_passive_ensorcelled_weapons_entropic_aoe	Aura of Ensorcelling (Entropic)	false
unit_abilities_onscreen_name_nanu_unit_passive_ensorcelled_weapons_poison_aoe	Aura of Ensorcelling (Poison)	false
unit_abilities_onscreen_name_nanu_unit_passive_aura_of_rust	Aura of Rust	false
unit_abilities_onscreen_name_nanu_unit_passive_courage_in_death	Courage in Death	false
unit_abilities_onscreen_name_nanu_unit_passive_bloodthirst	Bloodthirst	false
unit_abilities_onscreen_name_nanu_unit_passive_spellshield	Spellshield	false
unit_abilities_onscreen_name_nanu_unit_passive_spellshield_aura	Spellshield Aura	false
unit_abilities_onscreen_name_nanu_unit_passive_unstoppable_charge	Unstoppable Charge	false
unit_abilities_onscreen_name_nanu_unit_passive_immaculate_charge	Immaculate Charge	false
unit_abilities_onscreen_name_nanu_unit_passive_waaagh	Waaagh!	false
unit_abilities_onscreen_name_nanu_unit_passive_entrench	Entrench	false
unit_abilities_onscreen_name_nanu_unit_passive_hawkish_precision	Hawkish Precision	false
unit_abilities_onscreen_name_nanu_unit_passive_undying_tide	Undying Tide	false
unit_abilities_onscreen_name_nanu_unit_passive_dread_legion	Dread Legion	false
unit_abilities_onscreen_name_nanu_unit_ability_swiftness_of_itzl	Swiftness of Itzl	false
unit_abilities_tooltip_text_nanu_unit_ability_swiftness_of_itzl	The speed and agility of the great three-horned ruler is sometimes bestowed upon his subjects.	false
unit_abilities_onscreen_name_nanu_unit_passive_tamed	Tamed	false
unit_abilities_onscreen_name_nanu_unit_passive_aura_of_protection	Aura of Protection	false
unit_abilities_tooltip_text_nanu_unit_passive_aura_of_protection	The magical aura surrounding this unit protects allies from harm.	false
unit_abilities_onscreen_name_nanu_unit_passive_aura_of_warding	Aura of Warding	false
unit_abilities_tooltip_text_nanu_unit_passive_aura_of_warding	The magical aura surrounding this unit protects allies from harm.	false
unit_abilities_onscreen_name_nanu_unit_passive_flanker	Flanker	true
unit_abilities_tooltip_text_nanu_unit_passive_flanker	The art of hitting an enemy where they are weakest is perhaps the most important skill of any tactician.	true
unit_abilities_onscreen_name_nanu_unit_passive_ever_burning_light	Ever Burning Light	true
unit_abilities_tooltip_text_nanu_unit_passive_ever_burning_light	The light has never been extinguished and never will, such is the power that keeps it alight. For those ranged against the light, it is blinding, and so hampers their attacks considerably.	true
unit_abilities_onscreen_name_nanu_unit_passive_relentless_assault	Relentless Assault	true
unit_abilities_tooltip_text_nanu_unit_passive_relentless_assault	Invigorated by battle, lusting for blood, their fury only grows as the fight goes on.	true
unit_abilities_onscreen_name_nanu_unit_passive_undaunted	Undaunted	false
unit_abilities_tooltip_text_nnanu_unit_passive_undaunted	It is one thing to train against the horrors of the Old World, another to have faced them and come back alive.	false
unit_abilities_onscreen_name_nanu_unit_ability_daemon_slayer	Beast Slayer	true
unit_abilities_onscreen_name_nanu_unit_passive_beacon_of_hope	Beacon of Hope	true
unit_abilities_onscreen_name_nanu_unit_passive_cathayan_martial_mastery	Martial Mastery	true
unit_abilities_tooltip_text_nanu_unit_passive_cathayan_martial_mastery	Battle is an art in Cathay. Like all things it requires a delicate balance that takes years of training to master.	true
unit_abilities_onscreen_name_nanu_unit_passive_stone	Stone	true
unit_abilities_onscreen_name_nanu_unit_passive_steel	Steel	true
unit_abilities_onscreen_name_nanu_unit_passive_field_medic	Field Medic	true
unit_abilities_onscreen_name_nanu_unit_passive_run_them_down	Run Them Down	true
unit_abilities_onscreen_name_nanu_unit_ability_volley_arcane	Arcane Volley	false
unit_abilities_onscreen_name_nanu_unit_ability_volley_arcane_greater	Greater Arcane Volley	false
unit_abilities_onscreen_name_nanu_unit_passive_expert_skirmisher	Expert Skirmisher	false
unit_abilities_onscreen_name_nanu_unit_ability_volley_piercing	Piercing Volley	false
unit_abilities_onscreen_name_nanu_unit_ability_volley_piercing_greater	Greater Piercing Volley	false
unit_abilities_onscreen_name_nanu_unit_ability_volley_poison	Poison Volley	false
unit_abilities_onscreen_name_nanu_unit_ability_volley_poison_greater	Greater Poison Volley	false
unit_abilities_onscreen_name_nanu_unit_ability_volley_barbed	Barbed Volley	false
unit_abilities_onscreen_name_nanu_unit_ability_volley_barbed_greater	Greater Barbed Volley	false
unit_abilities_onscreen_name_nanu_unit_ability_volley_ice_shard	Ice Shard Volley	false
unit_abilities_onscreen_name_nanu_unit_ability_volley_ice_shard_greater	Greater Ice Shard Volley	false
unit_abilities_onscreen_name_nanu_unit_ability_volley_fire_charge	Fire Charge Volley	false
unit_abilities_onscreen_name_nanu_unit_ability_volley_fire_charge_greater	Greater Fire Charge Volley	false
unit_abilities_onscreen_name_nanu_unit_ability_volley_flaming	Flaming Volley	false
unit_abilities_onscreen_name_nanu_unit_ability_volley_flaming_greater	Greater Flaming Volley	false
unit_abilities_onscreen_name_nanu_unit_ability_rapid_fire	Rapid Fire	false
unit_abilities_onscreen_name_nanu_unit_ability_rapid_fire_aoe	Rapid Fire	false
unit_abilities_onscreen_name_nanu_unit_ability_firing_line	Firing Line	false
unit_abilities_onscreen_name_nanu_unit_ability_firing_line_aoe	Firing Line	false
unit_abilities_onscreen_name_nanu_unit_ability_smoke_bomb	Smoke Bomb	false
unit_abilities_onscreen_name_nanu_unit_passive_crush_the_weak	Crush the Weak	false
unit_abilities_onscreen_name_nanu_unit_passive_resplendent_armour	Resplendent Armour	false
unit_abilities_onscreen_name_nanu_unit_passive_blood_gods_rage	Blood God's Rage	true
unit_abilities_onscreen_name_nanu_unit_ability_blade_of_khorne	Blade of Khorne	true
unit_abilities_onscreen_name_nanu_unit_ability_blightboil_self	Blight Boil	false
unit_abilities_tooltip_text_nanu_unit_ability_blightboil_self	This filthy, pulsating blister rapidly grows before suddenly bursting, showering the enemy with its disgusting fluid and all the maladies contained within.	false
unit_abilities_onscreen_name_nanu_unit_passive_living_armour	Living Armour	false
unit_abilities_onscreen_name_nanu_unit_ability_fecundity	Fecundity	false
unit_abilities_tooltip_text_nanu_unit_ability_fecundity	The greatest gift bestowed by the Urfather upon His faithful is the promise of being reborn anew through hideous, pestilent death.	false
unit_abilities_onscreen_name_nanu_unit_passive_spurting_acid_blood	Spurting Acid Blood	false
unit_abilities_onscreen_name_nanu_unit_ability_wake_of_fire	Wake of Fire	false
unit_abilities_onscreen_name_nanu_unit_passive_crowfeast	Crowfeast	false
unit_abilities_onscreen_name_nanu_unit_passive_gravity_shift	Gravity Shift	true
unit_abilities_onscreen_name_nanu_unit_ability_magma_storm_lesser	Magma Storm	true
unit_abilities_tooltip_text_nanu_unit_ability_magma_storm_lesser	A fire is set within the very rock itself, causing the ground to splinter and the raging lifeblood of the world to gush forth and consume the enemy.	true
unit_abilities_onscreen_name_nanu_unit_ability_final_transmutation	Final Transmutation	true
unit_abilities_tooltip_text_nanu_unit_ability_final_transmutation	A hail of magical energy is unleashed, transmuting foes into unliving golden statues.	false
unit_abilities_onscreen_name_nanu_unit_ability_searing_doom	Searing Doom	true
unit_abilities_tooltip_text_nanu_unit_ability_searing_doom	A spray of sizzling silver slivers rain from the sky to impale the caster's enemy.	false
unit_abilities_onscreen_name_nanu_unit_passive_aura_of_hexing	Aura of Hexing	true
unit_abilities_onscreen_name_nanu_unit_ability_soul_rend	Soul Rend	true
unit_abilities_onscreen_name_nanu_unit_passive_unstable_winds	Unstable Winds	true
unit_abilities_tooltip_text_nanu_unit_passive_unstable_winds	The Winds of Magic swirl violently around this unit.	true
unit_abilities_onscreen_name_nanu_unit_ability_burning_head	The Burning Head	false
unit_abilities_tooltip_text_nanu_unit_ability_burning_head	A cackling, flaming visage appears before the Wizard. With a gleeful screech, it swirls around the battlefield, immolating anything in its way.  	false
unit_abilities_onscreen_name_nanu_unit_ability_piercing_bolts_of_burning	Piercing Bolts of Burning	false
unit_abilities_tooltip_text_nanu_unit_ability_piercing_bolts_of_burning	Focusing all his mystical might, the Pyromancer strikes the foe with a flurry of incandescent missiles.	false
unit_abilities_onscreen_name_nanu_unit_ability_fire_flaming_sword_of_rhuin	Flaming Sword of Rhuin	false
unit_abilities_tooltip_text_nanu_unit_ability_fire_flaming_sword_of_rhuin	The Wizard ensorcels allied weapons, making them burn with a savage fire. The targets of the spell are augmented with superior flaming blades.	false
unit_abilities_onscreen_name_nanu_unit_ability_melkoths_mystifying_miasma	Melkoth's Mystifying Miasma	false
unit_abilities_tooltip_text_nanu_unit_ability_melkoths_mystifying_miasma	The caster weaves a confounding fog that numbs and deludes enemies, causing them to stumble and stagger.	false
unit_abilities_onscreen_name_nanu_unit_passive_dark_prince_forsaken	Dark Prince Forsaken	true
unit_abilities_tooltip_text_nanu_unit_passive_dark_prince_forsaken	The tender lies of Slaanesh are silenced, and any blessings bestowed by the Dark Prince vanish as fear once more takes hold of a once impetuous heart.	true
unit_abilities_onscreen_name_nanu_unit_passive_frenzied_charge	Frenzied Charge	true
unit_abilities_tooltip_text_nanu_unit_passive_frenzied_charge	Some warriors care not for their own personal safety, and so work themselves into a whirlwind of destruction and mindless violence!	true
unit_abilities_onscreen_name_nanu_unit_passive_bloodthirsty_rampage	Bloodthirsty Rampage	false
unit_abilities_onscreen_name_nanu_unit_passive_unstoppable_rampage	Unstoppable Rampage	false
unit_abilities_onscreen_name_nanu_unit_passive_kvas_flasks	Kvas Flasks	false
unit_abilities_onscreen_name_nanu_unit_ability_bullgorger	Bullgorger	false
unit_abilities_tooltip_text_nanu_unit_ability_bullgorger	Devouring the heart of a bull Rhinox or Mournfang, raw vitality is projected into the Great Maw, increasing the ferocity of the Ogres' attacks.	false
unit_abilities_onscreen_name_nanu_unit_ability_trollguts	Trollguts	false
unit_abilities_tooltip_text_nanu_unit_ability_trollguts	After downing the toxic and utterly repulsive innards of a Troll, the Ogres' wounds seem to stitch themselves together before their enemies' dumbfounded eyes.	false
unit_abilities_onscreen_name_nanu_unit_ability_toothcracker	Toothcracker	false
unit_abilities_tooltip_text_nanu_unit_ability_toothcracker	By consuming a hunk of tooth-breaking granite, the spellcaster bestows the rock's resilience and the sturdiness of the mountains themselves into his brethren.	false
unit_abilities_onscreen_name_nanu_unit_ability_bonecrusher	Bonecrusher	false
unit_abilities_tooltip_text_nanu_unit_ability_bonecrusher	Stuffing a handful of bones into his mouth, the spellcaster crunches them up whilst cursing his foes, who are crushed by a giant fist which pounds them to dust.	false
unit_abilities_onscreen_name_nanu_unit_ability_volley_bonus_vs_large	Broadhead Volley	false
unit_abilities_onscreen_name_nanu_unit_ability_volley_bonus_vs_large_greater	Greater Broadhead Volley	false
unit_abilities_onscreen_name_nanu_unit_passive_luck_of_ranald	Luck of Ranald	false
unit_abilities_onscreen_name_nanu_unit_passive_terrifying_rampage	Terrifying Rampage	false
unit_abilities_onscreen_name_nanu_unit_ability_blood_frenzy	Blood Frenzy	false
unit_abilities_onscreen_name_nanu_unit_passive_blood_rage	Blood Rage	false
unit_abilities_onscreen_name_nanu_unit_ability_ash_storm	Ash Storm Upgraded	false
unit_abilities_tooltip_text_nanu_unit_ability_ash_storm	Choking, scalding, blinding, superheated ash streams across the battlefield whenever this nasty little spell is cast.	false
unit_abilities_onscreen_name_nanu_unit_ability_construct_killer	Construct Killer	false
unit_abilities_onscreen_name_nanu_unit_ability_rival_hide_talisman	Rival Hide Talisman	false
unit_abilities_onscreen_nanu_unit_ability_worlds_edge_armour	World's Edge Armour	false
unit_abilities_onscreen_nanu_unit_ability_skavenbrew	Skavenbrew	false
unit_abilities_onscreen_name_nanu_unit_passive_flesh_stitch	Flesh Stitch	true
unit_abilities_onscreen_name_nanu_unit_ability_knightslayer	Knightslayer	true
unit_abilities_onscreen_name_nanu_unit_passive_withering_heat	Withering Heat	true
unit_abilities_onscreen_name_nanu_unit_ability_rampaging_poison	Rampaging Poison	false
unit_abilities_onscreen_name_nanu_unit_passive_swarm_of_rats	Swarm of Rats	false
unit_abilities_tooltip_nanu_unit_passive_swarm_of_rats	Scratching biting gnashing gnawing... A swarm of filthy rats skitters in this unit's wake.	false
unit_abilities_onscreen_name_nanu_unit_ability_force_feed_kvas	Kvas	false
unit_abilities_tooltip_nanu_nanu_unit_ability_force_feed_kvas	Force feeding beasts Kvas sends them into a frenzy.	false
unit_abilities_onscreen_name_nanu_unit_ability_force_feed_bugmans_brew	Kvas	false
unit_abilities_tooltip_nanu_unit_ability_force_feed_bugmans_brew	Force feeding beasts Bugman's Brew sends them into a frenzy.	false
unit_abilities_onscreen_name_nanu_unit_passive_terrifying_charge	Terrifying Charge	false
unit_abilities_onscreen_name_nanu_unit_passive_blazing_aura	Blazing Aura	false
unit_abilities_onscreen_name_nanu_unit_ability_skavenbrew	Skavenbrew	false
unit_abilities_onscreen_name_nanu_unit_ability_worlds_edge_armour	Worlds Edge Armour	false
unit_abilities_onscreen_name_nanu_unit_passive_frenzied_assault	Frenzied Assault	false
unit_abilities_onscreen_name_nanu_unit_passive_toxic_cysts	Toxic Cysts	false
unit_abilities_onscreen_name_nanu_unit_ability_nightgoblin_poison	Night Goblin Poison	false
unit_abilities_onscreen_name_nanu_unit_passive_thunderous_aura	Thunderous Aura	true
unit_abilities_tooltip_text_nanu_unit_passive_thunderous_aura	Storm clouds roil above this unit, and those unlucky enough to get too close are soon struck by spiteful bolts.	true
unit_abilities_onscreen_name_nanu_unit_passive_thunderous_aura_greater	Greater Thunderous Aura	true
unit_abilities_tooltip_text_nanu_unit_passive_thunderous_aura_greater	Storm clouds roil above this unit, and those unlucky enough to get too close are soon struck by spiteful bolts.	true
unit_abilities_onscreen_name_nanu_unit_passive_aura_of_healing	Healing Aura	true
unit_abilities_onscreen_name_nanu_unit_ability_frostfire_tempest	Frostfire Tempest	false
unit_abilities_onscreen_name_nanu_unit_ability_arcane_blast	Arcane Blast	false
unit_abilities_onscreen_name_nanu_unit_ability_frozen_tomb	Frozen Tomb	false
unit_abilities_onscreen_name_nanu_unit_ability_frozen_tomb_aoe	Frozen Tomb	false
unit_abilities_onscreen_name_nanu_unit_ability_heart_of_winter	Heart of Winter	false
unit_abilities_tooltip_text_nanu_unit_ability_heart_of_winter	At one with the frozen plains and snowy tundra, wherever this one goes, they bring the icy heart of the Motherland with them.	false
unit_abilities_onscreen_name_nanu_unit_ability_ice_sheet	Ice Sheet	false
unit_abilities_tooltip_text_nanu_unit_ability_ice_sheet	Such is the volume of snowfall that enemies must wade through that the air itself becomes a near-opaque wall of ice no gaze can penetrate.	false
unit_abilities_onscreen_name_nanu_unit_ability_glacial_blast	Glacial Blast	false
unit_abilities_tooltip_text_nanu_unit_ability_glacial_blast	This eldritch explosion propels lacerating shards of ice outwards, devastating anyone caught in its deadly squall.	false
unit_abilities_onscreen_name_nanu_unit_ability_biting_wind	Biting Wind	false
unit_abilities_tooltip_text_nanu_unit_ability_biting_wind	A mighty, freezing gale slashes at the enemy with icy shards.	false
unit_abilities_onscreen_name_nanu_unit_ability_blizzard	Blizzard	false
unit_abilities_tooltip_text_nanu_unit_ability_blizzard	Snow and ice rise from the land, freezing and blinding any and all in their path with an unnatural cold.	false
unit_abilities_onscreen_name_nanu_unit_ability_hailstorm	Hailstorm	false
unit_abilities_tooltip_text_nanu_unit_ability_hailstorm	A deluge of lacerating, fist-sized shards of ice falls from the sky, battering the foe into submission.	false
unit_abilities_onscreen_name_nanu_unit_ability_death_explosion_arcane_small	Arcane Burst	false
unit_abilities_onscreen_name_nanu_unit_ability_death_explosion_daemonic_wrath_large	Daemonic Wrath	false
unit_abilities_onscreen_name_nanu_unit_ability_death_explosion_daemonic_wrath_small	Daemonic Wrath	false
unit_abilities_onscreen_name_nanu_unit_ability_death_explosion_flaming_large	Flaming Death	false
unit_abilities_onscreen_name_nanu_unit_ability_death_explosion_flaming_medium	Flaming Death	false
unit_abilities_onscreen_name_nanu_unit_ability_death_explosion_flaming_small	Flaming Death	false
unit_abilities_onscreen_name_nanu_unit_ability_death_explosion_gaseous_large	Gaseous Demise	false
unit_abilities_onscreen_name_nanu_unit_ability_death_explosion_gaseous_medium	Gaseous Demise	false
unit_abilities_onscreen_name_nanu_unit_ability_death_explosion_gaseous_small	Gaseous Demise	false
unit_abilities_onscreen_name_nanu_unit_ability_death_explosion_holy_fire	Purifying Death	false
unit_abilities_onscreen_name_nanu_unit_ability_death_explosion_frozen_tempest	Tempestuous Death	false
unit_abilities_onscreen_name_nanu_unit_ability_death_explosion_purple_sun	Spiteful Death	false
unit_abilities_onscreen_name_nanu_unit_ability_death_explosion_rancid_blood	Rancid Blood	false
unit_abilities_onscreen_name_nanu_unit_ability_death_explosion_tempest	Tempestuous Death	false
unit_abilities_onscreen_name_nanu_unit_ability_death_explosion_warp_discharge_large	Warp Discharge	false
unit_abilities_onscreen_name_nanu_unit_ability_death_explosion_warp_discharge_medium	Warp Discharge	false
unit_abilities_onscreen_name_nanu_unit_ability_death_explosion_warp_discharge_small	Warp Discharge	false
unit_abilities_onscreen_name_nanu_unit_ability_death_explosion_warpfire_storm	Destructive Death	false
unit_abilities_onscreen_name_nanu_unit_ability_death_explosion_warpgas_small	Volatile Death	false
unit_abilities_onscreen_name_nanu_unit_ability_death_explosion_watery_grave	Watery Grave	false
unit_abilities_onscreen_name_nanu_unit_ability_death_explosion_ice_blast	Frozen Grave	false
unit_abilities_onscreen_name_nanu_unit_ability_death_explosion_arcane_medium	Arcane Burst	false
unit_abilities_onscreen_name_nanu_unit_ability_glacial_blast_greater	Greater Glacial Blast	false
unit_abilities_tooltip_text_nanu_unit_ability_glacial_blast_greater	This eldritch explosion propels lacerating shards of ice outwards, devastating anyone caught in its deadly squall.	false
unit_abilities_onscreen_name_nanu_unit_passive_forest_stalker	Forest Stalker	true
unit_abilities_onscreen_name_nanu_unit_passive_crabfeast	Crabfeast	false
unit_abilities_onscreen_name_nanu_unit_passive_counter_charge	Counter Charge	false
unit_abilities_onscreen_name_nanu_unit_passive_banish_daemons	Banish Daemons	false
unit_abilities_onscreen_name_nanu_unit_passive_banish_undead	Banish Undead	false
unit_abilities_onscreen_name_nanu_unit_passive_flame_incarnate	Flame Incarnate	true
unit_abilities_tooltip_text_nanu_unit_passive_flame_incarnate	By which a vortex of fire surrounds the user; surprisingly, this improves their skills considerably.	true
unit_abilities_onscreen_name_nanu_unit_passive_piercing_gaze	Piercing Gaze	false
unit_abilities_tooltip_text_nanu_unit_passive_piercing_gaze	None can hide from the eyes of this unit	true
unit_abilities_onscreen_name_nanu_unit_passive_soothing_warmth	Soothing Warmth	false
unit_abilities_tooltip_text_nanu_unit_passive_soothing_warmth		true
unit_abilities_onscreen_name_nanu_unit_passive_tactical_mastery	Tactical Mastery	false
unit_abilities_tooltip_text_nanu_unit_passive_tactical_mastery		true
unit_abilities_onscreen_name_nanu_unit_ability_warp_storm	Warp Storm	false
unit_abilities_tooltip_text_nanu_unit_ability_warp_storm		true
unit_abilities_onscreen_name_nanu_unit_passive_warp_storm_aura	Warp Storm Aura	false
unit_abilities_tooltip_text_nanu_unit_passive_warp_storm_aura		true
